interpretation	解释

on reserve		预留

coronary		冠状动脉的

analogy			类比、比喻

foul				很坏的

shuttle			往返航班

utterance		话语、言论

dominance		优势、控制

calculus			微积分

progression		连续、前进

integral			不可或缺的、完整的

displacement	迫使迁居、排水量、替代

flux				不断地变动

fluctuate		波动

plague			瘟疫、折磨

synthetic		合成的、人造的

degrade			贬低、侮辱

mechanic		技工

nominal			名义上的

expedition		考察队、探险

worship			崇敬



proliferation		增生

raid				袭击、抢劫

contaminate		污染

sensory			感觉的、感官的

impulse			冲动

pulse			脉搏

portrayal		描述、描写

articulate		表达

elicit			引出、诱出

bead			水珠

refuge			避难所、避难

residual			剩余的

tribute			致敬、贡品

syllable			音节

